0	1	a	X
0	1	b	b
0	1	c	c
0	1	d	d
0	1	e 	9
0	1	f	f
0	1	g	g
0	1	h	h
0	3	i 	eps
0	1	j	j
0 	1	k	k
0 	1	l 	l
0 	4	m	eps
0	1	n	n
0	1	o	0
0	1	p	p
0	1	q	q
0	1	r	r
0	1	s	s
0	1	t	t
0	1	u	8
0	1	v 	v
0	1	w	w
0	1	x 	x
0	1	y	y
0	1	z	z
0	2	1 	1
0	2 	2 	2
0 	2 	3 	3
0	2	4 	4
0 	2	5 	5
0	2	6	6
0	2	7	7
0	2	8	8
0	2	9	9

1	1	a	X
1	1	b	b
1	1	c	c
1	1	d	d
1	1	e 	9
1	1	f	f
1	1	g	g
1	1	h	h
1	3	i 	eps
1	1	j	j
1 	1	k	k
1 	1	l 	l
1 	4	m	eps
1	1	n	n
1	1	o	0
1	1	p	p
1	1	q	q
1	1	r	r
1	1	s	s
1	1	t	t
1	1	u	8
1	1	v 	v
1	1	w	w
1	1	x 	x
1	1	y	y
1	1	z	z
1	6	_	_

2	2	1 	1
2	2 	2 	2
2 	2 	3 	3
2	2	4 	4
2 	2	5 	5
2	2	6	6
2	2	7	7
2	2	8	8
2	2	9	9
2	2	0	0
2	6	_	_

3	5	r	V
3	1	eps	L

4	1	b	7
4	1	eps	m

5	1	eps	r

6	0	eps	eps
6	7	eps	eps

7
